employment_cap,objective,annual_gdp,employment,construction_cost,gdp_per_capita,gdp_per_construction,era_cap,arable_land_consumption,level_building_coal_mine,level_building_iron_mine,level_building_lead_mine,level_building_sulfur_mine,level_building_gold_mine,level_building_logging_camp,level_building_rubber_plantation,level_building_fishing_wharf,level_building_whaling_station,level_building_oil_rig,error
14000000,gdp,364760025.39462036,14000000.000000002,2555346.0240329583,26.054287528187164,142.74388750645215,5,845.0,129.0,104.0,50.0,149.0,0.0,115.0,0.0,0.0,24.0,12.0,
15000000,gdp,379816858.2045363,15000000.0,2925066.9296278525,25.321123880302423,129.84894614116035,5,845.0,129.0,104.0,66.74007256053713,149.0,0.0,115.0,0.0,0.0,24.0,12.0,
16000000,gdp,394409613.31421036,16000000.0,2989296.6839812547,24.650600832138146,131.94060510210755,5,845.0,129.0,104.0,125.45679820660386,149.0,0.0,115.0,0.0,0.0,24.0,12.0,
17000000,gdp,408986635.78697205,17000000.0,3043170.0231053242,24.05803739923365,134.39493445378784,5,845.0,129.0,104.0,185.59656883294113,149.0,0.0,115.0,0.0,0.0,24.0,12.0,
18000000,gdp,420424106.54384613,18000000.0,3068280.7436908097,23.356894807991452,137.02269826786497,5,845.0,129.0,104.0,207.0,149.0,0.0,115.0,0.0,0.0,24.0,12.0,
19000000,gdp,430977684.93951714,19000000.000000004,3152365.3952566204,22.683036049448265,136.7156502821695,5,845.0,129.0,104.0,207.0,149.0,0.0,115.0,0.0,0.0,24.0,12.0,
20000000,gdp,441381657.5188205,20000000.000000007,3227532.557942537,22.069082875941017,136.75513711941892,5,845.0,129.0,104.0,207.0,149.0,0.0,115.0,0.0,0.0,24.0,12.0,
21000000,gdp,451763917.11755717,21000000.0,3300464.324633179,21.512567481788437,136.8788972344875,5,845.0,129.0,104.0,207.0,149.0,0.0,115.0,0.0,0.0,24.0,12.0,
22000000,gdp,462059656.0210503,22000000.000000004,3365565.3465290125,21.002711637320463,137.29035346099678,5,845.0,129.0,104.0,207.0,149.0,0.0,115.0,0.0,0.0,24.0,12.0,
23000000,gdp,471386818.7785714,23000000.0,3398526.084126984,20.495079077329194,138.7033105263518,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
24000000,gdp,479186818.7785714,23999999.999999996,3398526.084126984,19.966117449107145,140.99842311543281,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
